NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,NOMBRE_SERVICIO,ESTADO_DEL_VEHICULO,NOMBRE_DE_LA_CLASE,FECHA DE REGISTRO,CANTIDAD
CUNDINAMARCA,EL ROSAL,OFICIAL,ACTIVO,AUTOMOVIL,1928,1
MAGDALENA,SITIONUEVO,PARTICULAR,ACTIVO,AUTOMOVIL,1928,1
VALLE DEL CAUCA,TULUA,PARTICULAR,ACTIVO,CAMIONETA,1928,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1929,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1929,3
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMIONETA,1929,1
CALDAS,LA DORADA,PARTICULAR,ACTIVO,AUTOMOVIL,1929,1
CALDAS,SALAMINA,PARTICULAR,ACTIVO,MOTOCICLETA,1929,1
QUINDIO,CIRCASIA,PARTICULAR,ACTIVO,MOTOCICLETA,1929,1
RISARALDA,PEREIRA,PUBLICO,ACTIVO,CAMPERO,1929,1
RISARALDA,PEREIRA,PARTICULAR,ACTIVO,MOTOCICLETA,1929,1
SANTANDER,BUCARAMANGA,PARTICULAR,ACTIVO,BUSETA,1929,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1930,4
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,CAMIONETA,1930,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1930,1
CAUCA,TIMBIO,PARTICULAR,ACTIVO,MOTOCICLETA,1930,1
CUNDINAMARCA,CHOCONTA,PARTICULAR,ACTIVO,CAMIONETA,1930,1
CUNDINAMARCA,FUSAGASUGA,PUBLICO,ACTIVO,CAMIONETA,1930,1
CUNDINAMARCA,TENJO,PARTICULAR,ACTIVO,CAMIONETA,1930,1
CUNDINAMARCA,VILLETA,PARTICULAR,ACTIVO,MOTOCICLETA,1930,1
NORTE DE SANTANDER,EL ZULIA,PUBLICO,ACTIVO,AUTOMOVIL,1930,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1931,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1931,1
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,CAMION,1931,1
BOLIVAR,SANTA ROSA,PARTICULAR,ACTIVO,CAMIONETA,1931,1
CORDOBA,LA APARTADA,PARTICULAR,ACTIVO,MOTOCICLETA,1931,1
CUNDINAMARCA,SESQUILE,PARTICULAR,ACTIVO,MOTOCICLETA,1931,1
CUNDINAMARCA,TENJO,PARTICULAR,ACTIVO,AUTOMOVIL,1931,1
RISARALDA,LA VIRGINIA,PARTICULAR,ACTIVO,MOTOCICLETA,1931,1
ANTIOQUIA,SAN JERONIMO,PARTICULAR,ACTIVO,AUTOMOVIL,1932,4
ATLANTICO,BARANOA,PARTICULAR,ACTIVO,AUTOMOVIL,1932,2
BOGOTA D.C.,BOGOTA,PARTICULAR,ACTIVO,AUTOMOVIL,1932,2
VALLE DEL CAUCA,FLORIDA,PARTICULAR,ACTIVO,MOTOCICLETA,1932,1
