DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD
HUILA,SANTA MARIA,41676,CAMPERO,2010-01-10,1
CUNDINAMARCA,GACHETA,25297,CAMPERO,2010-01-10,1
ANTIOQUIA,MEDELLIN (CT),50010,CAMIONETA,2010-01-10,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-10,1
TOLIMA,COYAIMA,73217,CAMIONETA,2010-01-10,1
TOLIMA,GUAMO,73319,CAMIONETA,2010-01-10,1
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-10,1
NARINO,CHACHAGUI,52240,MOTOCICLETA,2010-01-11,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-11,1
BOLIVAR,CARTAGENA (CT),13001,MOTOCICLETA,2010-01-11,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-11,1
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-11,1
TOLIMA,HERVEO,73347,MOTOCICLETA,2010-01-11,1
NARINO,BUESACO,52110,MOTOCICLETA,2010-01-11,1
CAUCA,POPAYAN (CT),19001,MOTOCICLETA,2010-01-11,1
MAGDALENA,SANTA MARTA (CT),47001,MOTOCICLETA,2010-01-11,1
NARINO,TAMINANGO,52786,MOTOCICLETA,2010-01-11,1
CAUCA,SUAREZ,19780,MOTOCICLETA,2010-01-11,1
CUNDINAMARCA,GIRARDOT,25307,MOTOCICLETA,2010-01-11,1
META,VILLAVICENCIO (CT),50001,CAMIONETA,2010-01-11,1
CAUCA,POPAYAN (CT),19001,AUTOMOVIL,2010-01-11,1
BOYACA,MONIQUIRA,15469,AUTOMOVIL,2010-01-11,1
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-11,1
CAUCA,ARGELIA,19050,CAMPERO,2010-01-11,1
CAUCA,ARGELIA,19050,CAMPERO,2010-01-11,1
ANTIOQUIA,MEDELLIN (CT),50010,CAMPERO,2010-01-11,1
NARINO,SANDONA,52683,AUTOMOVIL,2010-01-11,1
VALLE,CALI (CT),76001,AUTOMOVIL,2010-01-11,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-11,1
NARINO,IPIALES,52356,TAXI,2010-01-11,1
RISARALDA,PEREIRA (CT),66001,AUTOMOVIL,2010-01-11,1
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-11,1
CALDAS,ANSERMA,17042,CAMION,2010-01-11,1
META,VILLAVICENCIO (CT),50001,AUTOMOVIL,2010-01-11,1
META,VILLAVICENCIO (CT),50001,CAMPERO,2010-01-11,1
CAUCA,POPAYAN (CT),19001,CAMPERO,2010-01-11,1
CAUCA,TIMBIO,19807,AUTOMOVIL,2010-01-11,1
CAUCA,BOLIVAR,19100,AUTOMOVIL,2010-01-11,1
SANTANDER,SOCORRO,68755,CAMIONETA,2010-01-11,1
VALLE,CALI (CT),76001,MOTOCICLETA,2010-01-12,1
ANTIOQUIA,ENVIGADO,52660,MOTOCICLETA,2010-01-12,1
MAGDALENA,FUNDACION,47288,MOTOCICLETA,2010-01-12,1
BOGOTA,BOGOTA D.C. (CT),11001,MOTOCICLETA,2010-01-12,1
ANTIOQUIA,BELLO,50880,MOTOCICLETA,2010-01-12,1
CAUCA,ARGELIA,19050,MOTOCICLETA,2010-01-12,1
NARINO,ALBAN,52019,MOTOCICLETA,2010-01-12,1
ATLANTICO,BARRANQUILLA (CT),80010,MOTOCICLETA,2010-01-12,1
RISARALDA,DOSQUEBRADAS,66170,MOTOCICLETA,2010-01-12,1
CUNDINAMARCA,RICAURTE,25612,MOTOCICLETA,2010-01-12,1
BOYACA,SOGAMOSO,15759,MOTOCICLETA,2010-01-12,1
ANTIOQUIA,MARINILLA,54400,MOTOCICLETA,2010-01-12,1
ATLANTICO,MALAMBO,84330,MOTOCICLETA,2010-01-12,1
ANTIOQUIA,GIRARDOTA,53080,MOTOCICLETA,2010-01-12,1
HUILA,PITALITO,41551,MOTOCICLETA,2010-01-12,1
SUCRE,SINCELEJO (CT),70001,MOTOCICLETA,2010-01-12,1
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-12,1
ANTIOQUIA,TARAZA,57900,MOTOCICLETA,2010-01-12,1
QUINDIO,MONTENEGRO,63470,MOTOCICLETA,2010-01-12,1
NARINO,SAN BERNARDO,52685,MOTOCICLETA,2010-01-12,1
CAUCA,PATIA,19532,MOTOCICLETA,2010-01-12,1
CAQUETA,FLORENCIA (CT),18001,MOTOCICLETA,2010-01-12,1
NARINO,TAMINANGO,52786,MOTOCICLETA,2010-01-12,1
NARINO,CONSACA,52207,MOTOCICLETA,2010-01-12,1
NARINO,PASTO (CT),52001,MOTOCICLETA,2010-01-12,1
NARINO,PASTO (CT),52001,AUTOMOVIL,2010-01-12,1
ATLANTICO,BARRANQUILLA (CT),80010,AUTOMOVIL,2010-01-12,1
CALDAS,MANIZALES (CT),17001,CAMPERO,2010-01-12,1
META,VILLAVICENCIO (CT),50001,CAMPERO,2010-01-12,1
ANTIOQUIA,ITAGUI,53600,AUTOMOVIL,2010-01-12,1
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-12,1
NARINO,PASTO (CT),52001,CAMIONETA,2010-01-12,1
GUAJIRA,MAICAO,44430,CAMIONETA,2010-01-12,1
ANTIOQUIA,BELLO,50880,TAXI,2010-01-12,1
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-12,1
VALLE,CALI (CT),76001,CAMIONETA,2010-01-12,1
