DEPARTAMENTO,MUNICIPIO,CODIGO DANE,CLASE BIEN,FECHA HECHO,CANTIDAD,TIPO_VEHICULO,AÑO,CODIGO_DANE_MUNICIPIO
RISARALDA,PEREIRA (CT),66001,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,66001
BOLIVAR,EL CARMEN DE BOLIVAR,13244,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,13244
NARINO,SAN ANDRES DE TUMACO,52835,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,52835
ANTIOQUIA,MEDELLIN (CT),50010,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,50010
CUNDINAMARCA,MOSQUERA,25473,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,25473
ANTIOQUIA,APARTADO,50450,MOTOCICLETA,2010-01-08,1,MOTOCICLETA,2010,50450
ANTIOQUIA,MEDELLIN (CT),50010,CAMIONETA,2010-01-08,1,AUTOMOTOR,2010,50010
BOGOTA,BOGOTA D.C. (CT),11001,CAMIONETA,2010-01-08,1,AUTOMOTOR,2010,11001
ANTIOQUIA,MEDELLIN (CT),50010,TAXI,2010-01-08,1,AUTOMOTOR,2010,50010
BOGOTA,BOGOTA D.C. (CT),11001,AUTOMOVIL,2010-01-08,1,AUTOMOTOR,2010,11001
BOLIVAR,MARIA LA BAJA,13442,AUTOMOVIL,2010-01-08,1,AUTOMOTOR,2010,13442
ANTIOQUIA,MEDELLIN (CT),50010,AUTOMOVIL,2010-01-08,1,AUTOMOTOR,2010,50010
CUNDINAMARCA,FUNZA,25286,CAMIONETA,2010-01-08,1,AUTOMOTOR,2010,25286
RISARALDA,PEREIRA (CT),66001,AUTOMOVIL,2010-01-08,1,AUTOMOTOR,2010,66001
SANTANDER,BUCARAMANGA (CT),68001,AUTOMOVIL,2010-01-08,1,AUTOMOTOR,2010,68001
ANTIOQUIA,BELLO,50880,TRACTOMULA,2010-01-08,1,AUTOMOTOR,2010,50880
CAQUETA,FLORENCIA (CT),18001,AUTOMOVIL,2010-01-08,1,AUTOMOTOR,2010,18001
